2024-05-19 09:30:05, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:30:05, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:30:05, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:30:05, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:30:07, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:30:07, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:30:07, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:30:13, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:30:37, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:30:37, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:30:38, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:30:38, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:30:41, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:30:41, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:30:41, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:30:41, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:31:02, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:31:02, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:31:02, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:31:02, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:31:02, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:31:04, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:31:04, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:31:04, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:31:05, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:31:05, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:31:05, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:31:06, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:31:06, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:31:06, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:31:07, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:31:07, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:31:07, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:31:07, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:31:07, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:31:09, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:31:10, 192.168.1.1, DNS Amplification attack detected
